Role,WorkingTime,VizzingTime,Responses
Academic/Teacher,< 20 hrs,None,2
Academic/Teacher,< 20 hrs,<= 5 hrs,6
Academic/Teacher,< 20 hrs,6 to 10 hrs,1
Academic/Teacher,< 20 hrs,11 to 20 hrs,1
Academic/Teacher,20 to 29 hrs,<= 5 hrs,1
Academic/Teacher,20 to 29 hrs,6 to 10 hrs,2
Academic/Teacher,20 to 29 hrs,21 to 30 hrs,1
Academic/Teacher,30 to 39 hrs,None,5
Academic/Teacher,30 to 39 hrs,<= 5 hrs,15
Academic/Teacher,30 to 39 hrs,6 to 10 hrs,11
Academic/Teacher,30 to 39 hrs,11 to 20 hrs,3
Academic/Teacher,40 to 49 hrs,None,4
Academic/Teacher,40 to 49 hrs,<= 5 hrs,26
Academic/Teacher,40 to 49 hrs,6 to 10 hrs,14
Academic/Teacher,40 to 49 hrs,11 to 20 hrs,5
Academic/Teacher,40 to 49 hrs,21 to 30 hrs,4
Academic/Teacher,50 to 59 hrs,None,4
Academic/Teacher,50 to 59 hrs,<= 5 hrs,11
Academic/Teacher,50 to 59 hrs,6 to 10 hrs,6
Academic/Teacher,50 to 59 hrs,11 to 20 hrs,1
Academic/Teacher,60 to 69 hrs,None,2
Academic/Teacher,60 to 69 hrs,<= 5 hrs,3
Academic/Teacher,60 to 69 hrs,6 to 10 hrs,1
Academic/Teacher,>= 70 hrs,6 to 10 hrs,1
Academic/Teacher,>= 70 hrs,21 to 30 hrs,1
Academic/Teacher,>= 70 hrs,> 30 hrs,1
Student,< 20 hrs,None,5
Student,< 20 hrs,<= 5 hrs,11
Student,< 20 hrs,6 to 10 hrs,6
Student,< 20 hrs,11 to 20 hrs,2
Student,20 to 29 hrs,None,2
Student,20 to 29 hrs,<= 5 hrs,5
Student,20 to 29 hrs,6 to 10 hrs,5
Student,20 to 29 hrs,11 to 20 hrs,2
Student,20 to 29 hrs,21 to 30 hrs,1
Student,30 to 39 hrs,None,5
